v_dot_hat,omega_dot_hat,v_dot_measured,omega_dot_measured
-6.015452,0.935178,-5.946127,1.197719
-6.225461,1.731045,-6.125976,3.683438
-6.048704,2.671707,-6.069655,4.558656
-5.380139,3.133164,-5.697910,2.851515
-4.420098,2.593248,-5.118008,-1.222086
-3.581691,1.127283,-4.578502,-5.813679
-3.223169,-0.696660,-4.312037,-8.287573
-3.440188,-2.241924,-4.394994,-7.412996
-4.093890,-2.986162,-4.755106,-4.145649
-4.948577,-2.784510,-5.259029,-0.232265
-5.738608,-1.927952,-5.749488,2.891713
-6.217482,-0.879325,-6.068879,4.307752
-6.260124,-0.063595,-6.125728,3.694482
-5.953368,0.233560,-5.960776,1.510072
-5.573267,0.001804,-5.739561,-0.972233
-5.428526,-0.449087,-5.656745,-2.188708
-5.672708,-0.658092,-5.818216,-1.277373
-13.044321,5.393368,-10.233165,19.060572
-12.832110,11.119840,-9.893684,20.645890
-12.072193,19.600309,-9.118492,26.310132
-5.257934,15.696134,-4.726153,3.399099
-2.052610,8.548049,-2.782566,-11.585903
-1.347177,3.568535,-2.265693,-13.774164
-1.257699,0.674395,-2.131104,-9.388582
-0.926473,-1.840768,-1.785495,-9.098905
-0.697878,-3.971364,-1.505984,-9.056094
-0.653366,-5.284826,-1.402898,-6.778107
-0.707678,-5.690402,-1.411511,-3.280763
-0.795327,-5.328069,-1.459887,0.511303
-0.815987,-4.632820,-1.444073,2.867473
-0.715739,-4.092589,-1.304641,2.769924
-0.514128,-4.125040,-1.041479,0.116886
-0.300329,-4.828743,-0.736039,-3.714050
-0.153200,-5.920759,-0.508007,-6.849852
-0.113012,-6.885399,-0.458007,-7.794114
-0.196022,-7.250070,-0.604494,-6.130074
-0.399108,-6.843895,-0.880044,-2.630454
-0.673587,-5.893529,-1.180749,1.087610
-0.927839,-4.809503,-1.418860,3.503489
-1.072301,-3.943685,-1.541348,3.754542
-1.083527,-3.485617,-1.550062,1.973194
-1.025537,-3.430194,-1.508749,-0.688807
-1.008455,-3.576181,-1.510490,-2.558073
-1.120151,-3.627331,-1.617909,-2.435843
-1.381713,-3.355673,-1.829369,-0.249135
-1.729193,-2.727850,-2.084401,3.032170
-2.023844,-1.897455,-2.285760,5.932341
-2.109302,-1.103207,-2.333023,7.004270
-1.912862,-0.620765,-2.177634,5.354419
-1.519438,-0.690116,-1.869971,1.338925
-1.122304,-1.294194,-1.544016,-3.172216
-0.880397,-2.124445,-1.334530,-5.983324
-0.846012,-2.815635,-1.301928,-6.104609
-0.995715,-3.113247,-1.424185,-3.918497
-1.251919,-2.969999,-1.624073,-0.740179
-1.498462,-2.556204,-1.807902,1.831356
-1.625994,-2.143089,-1.901928,2.589586
-1.594564,-1.966264,-1.885290,1.204827
-1.467782,-2.118254,-1.808771,-1.510614
-1.377687,-2.492240,-1.770093,-3.906217
-1.446753,-2.837780,-1.852271,-4.469111
-1.730246,-2.890700,-2.078136,-2.717957
-2.194547,-2.517166,-2.408959,0.683448
-2.714515,-1.793430,-2.758975,4.418372
-3.098648,-0.936026,-3.010275,7.068524
-3.167651,-0.189619,-3.053933,7.475532
-2.875242,0.201475,-2.861818,5.165770
-2.374410,0.080695,-2.528355,0.969758
-1.925027,-0.435627,-2.219592,-2.951374
-1.704965,-1.021044,-2.058702,-4.584285
-1.727522,-1.391344,-2.061456,-3.578085
-1.900308,-1.426918,-2.165354,-0.979188
-2.083466,-1.194097,-2.275043,1.628311
-2.137823,-0.901612,-2.299573,2.753646
-1.997574,-0.803256,-2.196890,1.594440
-1.721355,-1.066148,-2.006701,-1.450992
-1.461820,-1.645271,-1.836671,-4.772517
-1.369210,-2.308378,-1.795983,-6.505391
-1.522024,-2.766249,-1.932300,-5.708666
-1.914998,-2.791636,-2.222883,-2.717170
-2.460569,-2.344931,-2.597552,1.250920
-2.998412,-1.597707,-2.955055,4.744315
-3.337389,-0.810845,-3.180730,6.543912
-3.346668,-0.226470,-3.196164,5.953989
-3.055576,-0.019239,-3.020725,3.192363
-2.660396,-0.198140,-2.776625,-0.324069
-2.393202,-0.555336,-2.609177,-2.579582
-2.365267,-0.809946,-2.588854,-2.412659
-2.529407,-0.784562,-2.685262,-0.226176
-2.737325,-0.476595,-2.804508,2.586353
-2.808466,-0.043415,-2.834552,4.395781
-2.618443,0.252349,-2.698291,3.915292
-2.191633,0.142127,-2.408377,0.872229
-1.706233,-0.444217,-2.076456,-3.443313
-1.371415,-1.288628,-1.847786,-6.771593
-1.300481,-2.070239,-1.810345,-7.541820
-1.501695,-2.518657,-1.965076,-5.642094
-1.909591,-2.490198,-2.251766,-2.071479
-2.394444,-2.049619,-2.578464,1.656711
-2.789989,-1.426446,-2.843062,4.151567
-2.956193,-0.883042,-2.962920,4.544403
-2.863682,-0.616368,-2.922241,2.805076
-2.631616,-0.678392,-2.795643,-0.027708
-2.458473,-0.929750,-2.705772,-2.194411
-2.490522,-1.120262,-2.741009,-2.320156
-2.742228,-1.040067,-2.906460,-0.294103
-12.550411,4.994617,-10.233165,19.060572
-12.414440,7.740655,-9.893684,20.645890
-12.122753,12.701600,-9.266743,27.547781
-10.161245,19.203603,-9.266743,27.547781
-1.671143,11.098461,-0.542576,-6.688629
0.811948,4.071329,-0.542576,-6.688629
-0.465472,1.681721,-1.009755,-12.867616
-0.046578,-1.140206,-0.359025,-13.525429
0.100651,-3.138191,0.035924,-11.058831
0.193934,-4.568046,0.308242,-8.829413
0.153653,-5.168369,0.357839,-4.555195
0.106631,-5.204792,0.358093,-0.892426
0.080990,-4.886110,0.370413,1.896433
0.158697,-4.694921,0.539067,1.771426
0.305549,-4.856173,0.842758,-0.362821
0.509445,-5.497661,1.248403,-3.926791
0.715652,-6.400055,1.585268,-6.915506
0.859651,-7.220543,1.706415,-8.150022
0.848085,-7.548798,1.529252,-6.632342
0.677727,-7.203840,1.155309,-2.915902
0.440217,-6.355403,0.770314,1.226635
0.256470,-5.397359,0.513147,3.748210
0.190497,-4.655158,0.415777,3.828722
0.237653,-4.287469,0.444235,1.847251
0.331508,-4.259548,0.512730,-0.852078
0.381730,-4.373579,0.518042,-2.643927
0.317274,-4.360439,0.396736,-2.356742
0.128597,-4.030693,0.170209,0.050789
-0.119167,-3.387664,-0.075942,3.441906
-0.312952,-2.611131,-0.245401,6.120695
-0.351226,-1.947749,-0.267539,6.685339
-0.203889,-1.626711,-0.116077,4.636254
0.064306,-1.769629,0.170037,0.750383
0.340197,-2.302915,0.486474,-3.293220
0.525030,-2.981954,0.702015,-5.833011
0.560996,-3.510195,0.727349,-5.918265
0.446701,-3.672785,0.574063,-3.686115
0.248738,-3.452015,0.344530,-0.428364
0.071798,-3.029623,0.154882,2.082213
-0.000947,-2.659067,0.073088,2.606455
0.047869,-2.531331,0.101618,1.006070
0.161951,-2.689998,0.178208,-1.734196
0.242552,-3.009175,0.201588,-3.993321
0.198284,-3.253366,0.091760,-4.338648
-0.009920,-3.196619,-0.154590,-2.294441
-0.342468,-2.756560,-0.466942,1.358015
-0.690088,-2.044632,-0.749480,5.055834
-0.915604,-1.286791,-0.916082,7.240079
-0.918652,-0.721514,-0.910644,6.901172
-0.704669,-0.529678,-0.736631,4.067005
-0.391847,-0.743601,-0.471001,0.054708
-0.128059,-1.204863,-0.230801,-3.203582
-0.005578,-1.662019,-0.109254,-4.345858
-0.040061,-1.902766,-0.128729,-3.149733
-0.175880,-1.850566,-0.234695,-0.537086
-0.310179,-1.597675,-0.334684,1.896809
-0.344384,-1.347692,-0.349787,2.694017
-0.240705,-1.307571,-0.250963,1.265269
-0.045809,-1.576960,-0.078284,-1.769625
0.137744,-2.083750,0.068043,-4.872110
0.204681,-2.617228,0.079291,-6.390623
0.089390,-2.922958,-0.090546,-5.374351
-0.203360,-2.824286,-0.394047,-2.109613
-0.591109,-2.332696,-0.731693,2.012059
-0.943120,-1.635659,-1.006906,5.319005
-1.130820,-0.981163,-1.146957,6.562070
-1.093005,-0.578607,-1.122316,5.300560
-0.884473,-0.526296,-0.972015,2.223727
-0.645997,-0.752478,-0.793761,-0.992684
-0.508706,-1.052308,-0.686567,-2.656848
-0.525296,-1.211652,-0.692138,-2.059726
-0.660156,-1.116642,-0.779189,0.274586
-0.810021,-0.807867,-0.868177,2.933307
-0.853469,-0.457163,-0.873738,4.308062
